[0;90m2024-10-11 14:14:32.200 [0;1;93m[Warning][m: IPC channel still there, doing an unlink of server-user-0-function-0
[0;90m2024-10-11 14:14:32.200 [0;1;96m[ Debug ][m: Application registered management segment 0x74316e340000 with size 65796264 to id 1
[0;90m2024-10-11 14:14:32.201 [0;1;96m[ Debug ][m: Application registered payload data segment 0x742ff7138000 with size 6293584200 to id 2
[2024-10-11 14:14:32.201] [error] Enabling use of VMM-based allocations in CUDA!
[2024-10-11 14:14:32.276] [error] Message from the orchestrator! Code 1
[2024-10-11 14:14:32.276] [info] [ExecutionStatus] CPU execution!
[2024-10-11 14:14:32.276] [error] Message from the orchestrator! Code 3
[2024-10-11 14:14:32.276] [info] [ExecutionStatus] Full execution!
[2024-10-11 14:14:32.660] [error] Total size 0.0 0
[2024-10-11 14:14:32.660] [error] Total size 0.0 0
[2024-10-11 14:14:32.660] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.661] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
[2024-10-11 14:14:32.662] [error] Total size 2.0 0
